	results_ses	results_acorn	results_vandalism	results_probneighbours	results_numberchildschool	results_meals	results_harm	results_siblings	results_socialsupport	results_activities	results_biodad	results_domesticviolence	results_maternalwarmth	results_maternaldepression	results_openness	results_conscientiousness	results_extroversion	results_agreeableness	results_neuroticism	results_antisocial	results_iq	results_execfunction	results_theoryofmind	results_externalising	results_internalising	results_adhd	results_prosocial
																										1.00	
																										1.00	
																										.	
prosocial																											1.00
																											1.00
																											1.00
																											.
_cons	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Increasing																											
ses	2.56																										
	1.68																										
	3.91																										
	0.00																										
acorn		1.27																									
		1.00																									
		1.60																									
		0.05																									
vandalism			1.17																								
			0.96																								
			1.43																								
			0.13																								
probneighbours				1.32																							
				1.12																							
				1.54																							
				0.00																							
numberchildschool					1.03																						
					0.80																						
					1.32																						
					0.84																						
meals						1.16																					
						0.95																					
						1.42																					
						0.14																					
harm							1.66																				
							0.98																				
							2.81																				
							0.06																				
siblings								1.04																			
								0.82																			
								1.31																			
								0.75																			
socialsupport									0.77																		
									0.63																		
									0.94																		
									0.01																		
activities										0.65																	
										0.54																	
										0.78																	
										0.00																	
biodad											2.25																
											1.15																
											4.42																
											0.02																
domesticviolence												1.42															
												0.93															
												2.18															
												0.10															
maternalwarmth													0.64														
													0.52														
													0.80														
													0.00														
maternaldepression														1.25													
														0.82													
														1.92													
														0.30													
openness															0.66												
															0.53												
															0.81												
															0.00												
conscientiousness																0.65											
																0.54											
																0.79											
																0.00											
extroversion																	0.72										
																	0.59										
																	0.88										
																	0.00										
agreeableness																		0.74									
																		0.61									
																		0.89									
																		0.00									
neuroticism																			1.33								
																			1.09								
																			1.62								
																			0.00								
antisocial																				1.42							
																				1.18							
																				1.71							
																				0.00							
iq																					0.64						
																					0.51						
																					0.79						
																					0.00						
execfunction																						0.88					
																						0.73					
																						1.06					
																						0.19					
theoryofmind																							0.65				
																							0.52				
																							0.81				
																							0.00				
externalising																								2.06			
																								1.77			
																								2.39			
																								0.00			
internalising																									1.66		
																									1.38		
																									1.99		
																									0.00		
adhd																										2.39	
																										2.02	
																										2.82	
																										0.00	
prosocial																											0.64
																											0.53
																											0.78
																											0.00
_cons	0.03	0.11	0.10	0.10	0.10	0.10	0.05	0.10	0.10	0.09	0.04	0.06	0.09	0.07	0.09	0.09	0.10	0.09	0.09	0.10	0.09	0.09	0.08	0.05	0.10	0.04	0.06
	0.01	0.05	0.05	0.05	0.05	0.05	0.02	0.05	0.05	0.05	0.01	0.02	0.05	0.03	0.05	0.04	0.05	0.05	0.05	0.05	0.05	0.05	0.04	0.02	0.05	0.02	0.03
	0.07	0.20	0.19	0.19	0.19	0.20	0.14	0.19	0.18	0.17	0.11	0.16	0.18	0.16	0.18	0.17	0.19	0.18	0.18	0.19	0.18	0.17	0.17	0.10	0.19	0.08	0.12
	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Decreasing																											
ses	1.95																										
	1.32																										
	2.90																										
	0.00																										
acorn		1.27																									
		1.04																									
		1.55																									
		0.02																									
vandalism			1.17																								
			0.98																								
			1.39																								
			0.08																								
probneighbours				1.22																							
				1.04																							
				1.44																							
				0.01																							
numberchildschool					1.18																						
					0.95																						
					1.47																						
					0.14																						
meals						1.37																					
						1.16																					
						1.62																					
						0.00																					
harm							2.53																				
							1.63																				
							3.93																				
							0.00																				
siblings								1.24																			
								1.05																			
								1.47																			
								0.01																			
socialsupport									0.77																		
									0.63																		
									0.95																		
									0.01																		
activities										0.70																	
										0.57																	
										0.85																	
										0.00																	
biodad											1.84																
											0.91																
											3.70																
											0.09																
domesticviolence												1.82															
												1.22															
												2.71															
												0.00															
maternalwarmth													0.66														
													0.55														
													0.80														
													0.00														
maternaldepression														1.88													
														1.27													
														2.78													
														0.00													
openness															0.80												
															0.65												
															0.97												
															0.03												
conscientiousness																0.58											
																0.49											
																0.70											
																0.00											
extroversion																	0.77										
																	0.64										
																	0.93										
																	0.01										
agreeableness																		0.66									
																		0.54									
																		0.81									
																		0.00									
neuroticism																			1.45								
																			1.20								
																			1.75								
																			0.00								
antisocial																				1.63							
																				1.40							
																				1.91							
																				0.00							
iq																					0.56						
																					0.46						
																					0.69						
																					0.00						
execfunction																						0.66					
																						0.55					
																						0.79					
																						0.00					
theoryofmind																							0.61				
																							0.49				
																							0.77				
																							0.00				
externalising																								2.47			
																								2.11			
																								2.89			
																								0.00			
internalising																									3.37		
																									2.79		
																									4.08		
																									0.00		
adhd																										2.85	
																										2.38	
																										3.41	
																										0.00	
prosocial																											0.42
																											0.34
																											0.51
																											0.00
_cons	0.04	0.10	0.11	0.11	0.12	0.12	0.04	0.11	0.11	0.11	0.06	0.04	0.11	0.04	0.11	0.09	0.11	0.10	0.10	0.10	0.09	0.09	0.09	0.04	0.07	0.03	0.04
	0.02	0.06	0.06	0.06	0.07	0.06	0.02	0.06	0.06	0.06	0.02	0.02	0.06	0.02	0.06	0.05	0.06	0.05	0.06	0.06	0.05	0.05	0.05	0.02	0.04	0.02	0.02
	0.10	0.19	0.21	0.21	0.23	0.22	0.08	0.20	0.20	0.20	0.15	0.10	0.20	0.11	0.20	0.17	0.21	0.18	0.19	0.19	0.17	0.17	0.17	0.08	0.14	0.07	0.08
	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
